city,area,street,street_number,address,rooms,kvm,price,day_of_month_sold,month_sold_swedish,year_sold,asking_price,avgift,type,floor,running_costs,year_built,hoa,agent_name,agency
Sundbybergs,Hallonbergen,Bergshöjden,18,Bergshöjden 18,2,67.6,1890000,5,juli,2019,1850000,3172,LägenhetLägenhet,NA,NA,1972,NA, Viktor Billing , Länsförsäkringar Fastighetsförmedling Solna 
Stockholms,Bromma,Adolfsbergsvägen,14,Adolfsbergsvägen 14,2,35,2180000,5,juli,2019,1990000,2029,LägenhetLägenhet,NA,5580,1947,NA, Isak Oddsson , Notar 
Stockholms,Hässelby,Blomsterkungsvägen,116,Blomsterkungsvägen 116B,1,26.5,1430000,5,juli,2019,1450000,1487,LägenhetLägenhet,NA,NA,2018,NA, Andreas Yacoub , Mäklarringen VällingbyHässelby 
Sundbybergs,Lilla,Stamgårdsparken,4,Stamgårdsparken 4,1,40,2200000,5,juli,2019,2295000,2154,LägenhetLägenhet,NA,8800,1942,NA, Sebastian Bergström , Magnusson Mäkleri Östermalm AB 
Nacka,Västra,Skarpövägen,9,Skarpövägen 9,1,37,1670000,4,juli,2019,1395000,1956,LägenhetLägenhet,NA,7320,NA,NA, Maxine Mazy , Svensk Fastighetsförmedling Nacka 
Sundbybergs,Sundbybergs,Franstorpsvägen,2,Franstorpsvägen 2,1,33,2400000,4,juli,2019,1995000,1632,LägenhetLägenhet,NA,NA,1970,NA, Ylva Gauffin , Länsförsäkringar Fastighetsförmedling Solna 
Stockholms,Bromma,Alpvägen,1,Alpvägen 1 2 tr,1,24,2050000,4,juli,2019,1595000,1287,LägenhetLägenhet,2,3600,1954,NA, Marcus Hemrin , Bjurfors Bromma 
Solna,Råsunda,Råsundavägen,134,Råsundavägen 134 3tr,1,28,2325000,4,juli,2019,1795000,2325,LägenhetLägenhet,3,3480,1951,NA, Aleidon Adam , Länsförsäkringar Fastighetsförmedling Solna 
Stockholms,Bromma,Tyska Bottens Väg,33,Tyska Bottens Väg 33,1,25,2030000,4,juli,2019,1650000,1279,LägenhetLägenhet,NA,NA,1963,NA, Jenny Nordstrand , Svenska Mäklarhuset Bromma 
Sundbybergs,Ursvik,Skrivargatan,30,Skrivargatan 30 4tr,2,42.5,2310000,3,juli,2019,2310000,2608,LägenhetLägenhet,4,NA,2016,NA, Mike Chammas , Länsförsäkringar Fastighetsförmedling Solna 
Sundbybergs,Sundbyberg/Ursvik,Gamla Enköpingsvägen,174,Gamla Enköpingsvägen 174,2,45,2080000,3,juli,2019,1995000,2502,LägenhetLägenhet,NA,NA,2010,NA, Linda Rosén , Notar 
Stockholms,Årsta,Sköntorpsvägen,124,Sköntorpsvägen 124 4 tr,1.5,42.5,2480000,3,juli,2019,1995000,2464,LägenhetLägenhet,4,5808,1961,NA, Christina Eriksson , Notar 
Stockholms,Råcksta,Råcksta Gårdsväg,28,Råcksta Gårdsväg 28 12 tr,2,40,2100000,2,juli,2019,1950000,2748,LägenhetLägenhet,12,2760,2014,NA, Josef Gubrail , Länsförsäkringar Fastighetsförmedling Stockholm Vällingby 
Sundbybergs,Ursvik,Ursviks Allé,41,Ursviks Allé 41,2,39,2300000,2,juli,2019,2300000,2538,LägenhetLägenhet,NA,NA,2015,NA, Mike Chammas , Länsförsäkringar Fastighetsförmedling Solna 
Sundbybergs,Rissne,Skvadronsbacken,11,Skvadronsbacken 11 3tr,2,43,2150000,2,juli,2019,1595000,2044,LägenhetLägenhet,3,NA,1982,NA, Shervin Hashemi , Notar 
Stockholms,Stockholms,Skattungsvägen,10,Skattungsvägen 10,2,55,2350000,1,juli,2019,2175000,4145,LägenhetLägenhet,NA,NA,1945,NA, Joanna Tuvesson , Svensk Fastighetsförmedling Årsta 
Sundbybergs,Ör,Kavaljersbacken,6,Kavaljersbacken 6 2 tr,2,67,2350000,1,juli,2019,2295000,2549,LägenhetLägenhet,2,5400,1965,NA, Jennifer Alm , Länsförsäkringar Fastighetsförmedling Solna 
Nacka,Jarlaberg,Landåvägen,16,Landåvägen 16,2,63,2413000,30,juni,2019,2495000,4325,LägenhetLägenhet,NA,7000,1989,NA, Kerstin Svensson , Erik Olsson Fastighetsförmedling 
Nacka,Västra,Skarpövägen,17,Skarpövägen 17,3,81,2200000,29,juni,2019,1995000,4281,LägenhetLägenhet,NA,2870,1971,NA, Daniel Eriksson , Fastighetsbyrån Nacka 
Solna,Karolinska,Olof af Acrels väg,3,Olof af Acrels väg 3 3 tr,1,26,2245000,28,juni,2019,1995000,1979,LägenhetLägenhet,3,1740,1959,NA, Jonas Franzén , Svensk Fastighetsförmedling Solna 
Sundbybergs,Sundbyberg,Ursviks Allé,21,Ursviks Allé 21,1,46,2100000,28,juni,2019,1995000,2875,LägenhetLägenhet,NA,3300,2017,Brf The Tube, Victor Aghester , Svenska Mäklarhuset Sundbyberg 
Nacka,Orminge,Skarpövägen,39,Skarpövägen 39,2,61,2120000,28,juni,2019,1850000,4350,LägenhetLägenhet,NA,4500,1970,NA, Robin Nyvall , Alicia Edelman Fastighetsmäkleri 
Solna,Järvastaden,Fridensborgsvägen,121,Fridensborgsvägen 121,2,41,2200000,28,juni,2019,2200000,2658,LägenhetLägenhet,NA,3480,2019,NA, Elina Ottosson , Erik Olsson Fastighetsförmedling 
Nacka,Jarlaberg,Trillans väg,36,Trillans väg 36,2,63,2450000,27,juni,2019,2175000,4059,LägenhetLägenhet,NA,5300,1989,NA, Thérèse Lennefalk Löfgren , Fastighetsbyrån Nacka 
Nacka,Björknäs,Värmdövägen,629,Värmdövägen 629,1.5,44,1895000,27,juni,2019,1895000,2533,LägenhetLägenhet,NA,9382,2016,NA, Emma Strindin , Fastighetsbyrån Nacka 
